Time,Open,High,Low,Last,Change,%Chg,Volume
"11/15/2021 15:54",36047.8,36054.82,36045.3,36052,2.07,+0.01%,1786446
"11/15/2021 15:53",36045.84,36050.51,36044.13,36049.93,3.87,+0.01%,1063376
"11/15/2021 15:52",36044.57,36052.39,36040.46,36046.06,1.59,0.00%,2903369
"11/15/2021 15:51",36039.17,36050.05,36039.17,36044.47,4.9,+0.01%,1196676
"11/15/2021 15:50",36048.22,36048.22,36031.78,36039.57,-8.07,-0.02%,1823472
"11/15/2021 15:49",36039.25,36048,36037.83,36047.64,8.29,+0.02%,710178
"11/15/2021 15:48",36040,36043.43,36038.81,36039.35,-0.41,0.00%,849968
"11/15/2021 15:47",36045.95,36047.74,36037.82,36039.76,-4.43,-0.01%,2849188
"11/15/2021 15:46",36053.5,36056.93,36043.31,36044.19,-9.75,-0.03%,680707
"11/15/2021 15:45",36064.52,36064.52,36053.94,36053.94,-10.2,-0.03%,672815
"11/15/2021 15:44",36068.59,36074.42,36064.14,36064.14,-4.49,-0.01%,632667
"11/15/2021 15:43",36058.39,36068.63,36057.59,36068.63,10.18,+0.03%,650493
"11/15/2021 15:42",36061.54,36063.89,36058.31,36058.45,-1.74,0.00%,559365
"11/15/2021 15:41",36059.13,36063.48,36055.83,36060.19,0.74,0.00%,611189
"11/15/2021 15:40",36065.45,36067.69,36058.57,36059.45,-6.07,-0.02%,645776
"11/15/2021 15:39",36076.96,36076.96,36063.88,36065.52,-11.41,-0.03%,500380
"11/15/2021 15:38",36080.84,36082.55,36076.86,36076.93,-3.8,-0.01%,586133
"11/15/2021 15:37",36073.65,36083.05,36072.85,36080.73,7.21,+0.02%,655033
"11/15/2021 15:36",36075.81,36076.28,36071.56,36073.52,-2.13,-0.01%,529602
"11/15/2021 15:35",36076.49,36077.97,36075.01,36075.65,-1.3,0.00%,576856
"11/15/2021 15:34",36083.09,36084.66,36076.18,36076.95,-6.36,-0.02%,538777
"11/15/2021 15:33",36079.18,36083.84,36078.55,36083.31,4.17,+0.01%,413980
"11/15/2021 15:32",36079.32,36082.23,36074.7,36079.14,1.04,0.00%,548841
"11/15/2021 15:31",36081.51,36082.31,36075.96,36078.1,-3.35,-0.01%,518677
"11/15/2021 15:30",36091.15,36091.15,36079.61,36081.45,-10.42,-0.03%,648353
"11/15/2021 15:29",36093.39,36096.58,36091.5,36091.87,-1.67,0.00%,429805
"11/15/2021 15:28",36097.38,36097.38,36092.02,36093.54,-3.53,-0.01%,474418
"11/15/2021 15:27",36084.41,36097.55,36084.41,36097.07,13.01,+0.04%,1203693
"11/15/2021 15:26",36080.9,36085.08,36080.47,36084.06,3.35,+0.01%,421502
"11/15/2021 15:25",36081.39,36082.82,36078.61,36080.71,-1.77,0.00%,556456
"11/15/2021 15:24",36083.66,36085.25,36082.48,36082.48,-1.16,0.00%,483969
"11/15/2021 15:23",36085.12,36085.46,36083.07,36083.64,-1.17,0.00%,424349
"11/15/2021 15:22",36084.03,36084.81,36081.35,36084.81,0.87,0.00%,375683
"11/15/2021 15:21",36086.66,36086.66,36083.93,36083.94,-2.45,-0.01%,446150
"11/15/2021 15:20",36078.22,36086.78,36078.22,36086.39,7.68,+0.02%,586398
"11/15/2021 15:19",36080.11,36080.11,36077.59,36078.71,-1.42,0.00%,359359
"11/15/2021 15:18",36084.2,36087.18,36079.98,36080.13,-4.2,-0.01%,383344
"11/15/2021 15:17",36079.71,36086.6,36079.71,36084.33,3.76,+0.01%,467461
"11/15/2021 15:16",36076.37,36080.57,36076.37,36080.57,4.63,+0.01%,406694
"11/15/2021 15:15",36073.08,36076.06,36071.18,36075.94,2.76,+0.01%,406560
"11/15/2021 15:14",36065.98,36074.74,36065.98,36073.18,7.01,+0.02%,341546
"11/15/2021 15:13",36072.31,36072.31,36066.17,36066.17,-5.93,-0.02%,396621
"11/15/2021 15:12",36078.17,36078.41,36069.4,36072.1,-6.08,-0.02%,385233
"11/15/2021 15:11",36084.27,36084.47,36078.18,36078.18,-6.27,-0.02%,402117
"11/15/2021 15:10",36076.66,36084.45,36076.66,36084.45,7.83,+0.02%,322997
"11/15/2021 15:09",36083.25,36084.51,36076.61,36076.62,-6.28,-0.02%,374146
"11/15/2021 15:08",36078.9,36083.8,36076.93,36082.9,4.2,+0.01%,310248
"11/15/2021 15:07",36088.03,36088.03,36078.28,36078.7,-9.62,-0.03%,322774
"11/15/2021 15:06",36084.74,36089.88,36084.54,36088.32,4.26,+0.01%,350557
"11/15/2021 15:05",36087.75,36089.01,36083.6,36084.06,-4.09,-0.01%,412100
"11/15/2021 15:04",36089.44,36091.67,36087.69,36088.15,-1.16,0.00%,379818
"11/15/2021 15:03",36089.18,36090.18,36088.2,36089.31,0.26,0.00%,325309
"11/15/2021 15:02",36089.4,36093.11,36088.01,36089.05,-0.62,0.00%,328052
"11/15/2021 15:01",36088.96,36093.45,36086.27,36089.67,0.35,0.00%,419265
"11/15/2021 15:00",36093.83,36095.44,36089.32,36089.32,-4.28,-0.01%,535573
"11/15/2021 14:59",36096.45,36096.51,36092.71,36093.6,-2.97,-0.01%,367214
"11/15/2021 14:58",36097.83,36100.04,36096.57,36096.57,-0.79,0.00%,449285
"11/15/2021 14:57",36099.69,36100.01,36096.82,36097.36,-2.25,-0.01%,351257
"11/15/2021 14:56",36098.36,36099.98,36097.12,36099.61,1.05,0.00%,381439
"11/15/2021 14:55",36092.92,36098.56,36092.23,36098.56,5.89,+0.02%,372662
"11/15/2021 14:54",36093.37,36093.51,36090.19,36092.67,-0.8,0.00%,262974
"11/15/2021 14:53",36091.69,36093.57,36089.17,36093.47,1.86,+0.01%,293396
"11/15/2021 14:52",36092.59,36094.29,36091.13,36091.61,-0.96,0.00%,356839
"11/15/2021 14:51",36095.74,36097.03,36091.15,36092.57,-3.97,-0.01%,345773
"11/15/2021 14:50",36095.25,36100.17,36095.18,36096.54,1.23,0.00%,374366
"11/15/2021 14:49",36094.83,36095.93,36091.36,36095.31,0.58,0.00%,322714
"11/15/2021 14:48",36095.79,36096.69,36093.45,36094.73,1.32,0.00%,383150
"11/15/2021 14:47",36104.1,36104.1,36093.41,36093.41,-10.69,-0.03%,437470
"11/15/2021 14:46",36107.37,36108.41,36101.86,36104.1,-2.78,-0.01%,426185
"11/15/2021 14:45",36105.1,36107.87,36102.57,36106.88,1.48,0.00%,326063
"11/15/2021 14:44",36105.14,36109.33,36104.91,36105.4,0.29,0.00%,396739
"11/15/2021 14:43",36107.99,36108.91,36103.68,36105.11,-2.46,-0.01%,521305
"11/15/2021 14:42",36100.18,36108.06,36100.08,36107.57,7.78,+0.02%,404147
"11/15/2021 14:41",36101.98,36101.98,36097.7,36099.79,-1.98,-0.01%,409725
"11/15/2021 14:40",36092.02,36102.78,36091.41,36101.77,9.78,+0.03%,512684
"11/15/2021 14:39",36089.98,36093.07,36089.61,36091.99,1.97,+0.01%,298402
"11/15/2021 14:38",36092.89,36093.97,36089.18,36090.02,-3.3,-0.01%,317157
"11/15/2021 14:37",36089.69,36093.32,36088.74,36093.32,3.45,+0.01%,277447
"11/15/2021 14:36",36086.3,36090.44,36085.68,36089.87,3.21,+0.01%,304286
"11/15/2021 14:35",36083.69,36086.66,36083.4,36086.66,3.03,+0.01%,329095
"11/15/2021 14:34",36081.64,36083.77,36078.7,36083.63,2.04,+0.01%,375366
"11/15/2021 14:33",36078.13,36082.59,36077.99,36081.59,2.79,+0.01%,379551
"11/15/2021 14:32",36077.18,36078.82,36075.54,36078.8,1.42,0.00%,297080
"11/15/2021 14:31",36080.22,36080.22,36075.5,36077.38,-4.82,-0.01%,307543
"11/15/2021 14:30",36080.82,36082.63,36078.08,36082.2,1.35,0.00%,312996
"11/15/2021 14:29",36078.82,36082.03,36078.61,36080.85,1.8,0.00%,371024
"11/15/2021 14:28",36080.81,36081.68,36079.01,36079.05,-1.49,0.00%,366109
"11/15/2021 14:27",36073.23,36080.54,36072.48,36080.54,7.28,+0.02%,337033
"11/15/2021 14:26",36079.31,36079.46,36070.38,36073.26,-6.18,-0.02%,377616
"11/15/2021 14:25",36086.77,36088.97,36079.3,36079.44,-7.47,-0.02%,336864
"11/15/2021 14:24",36089.67,36091.69,36086.81,36086.91,-2.74,-0.01%,315355
"11/15/2021 14:23",36085.44,36090.81,36084.55,36089.65,4.48,+0.01%,362524
"11/15/2021 14:22",36084.5,36085.66,36083.51,36085.17,0.53,0.00%,352788
"11/15/2021 14:21",36077.18,36084.87,36077.18,36084.64,7.56,+0.02%,416576
"11/15/2021 14:20",36086.11,36086.11,36076.83,36077.08,-9.18,-0.03%,353869
"11/15/2021 14:19",36086.35,36089.69,36086.26,36086.26,0.57,0.00%,314902
"11/15/2021 14:18",36091.14,36091.14,36085.48,36085.69,-5.52,-0.02%,350987
"11/15/2021 14:17",36095.66,36096.24,36090.34,36091.21,-5.18,-0.01%,345674
"11/15/2021 14:16",36093.19,36097.29,36093.01,36096.39,3.11,+0.01%,391969
"11/15/2021 14:15",36108.15,36108.19,36093.24,36093.28,-15.13,-0.04%,491833
"11/15/2021 14:14",36112.57,36112.57,36108.2,36108.41,-4.04,-0.01%,303734
"11/15/2021 14:13",36114.29,36114.39,36110.72,36112.45,-2.12,-0.01%,410733
"11/15/2021 14:12",36115.49,36116.02,36114.36,36114.57,-0.89,0.00%,224709
"11/15/2021 14:11",36113.02,36116.47,36112.37,36115.46,2.45,+0.01%,409852
"11/15/2021 14:10",36111.15,36113.01,36107.81,36113.01,1.29,0.00%,394857
"11/15/2021 14:09",36102.67,36111.72,36101.91,36111.72,9.03,+0.03%,502194
"11/15/2021 14:08",36107.18,36107.51,36102.32,36102.69,-4.82,-0.01%,375770
"11/15/2021 14:07",36110.89,36111.32,36107.51,36107.51,-3.43,-0.01%,291303
"11/15/2021 14:06",36119.39,36120.87,36110.86,36110.94,-8.4,-0.02%,347902
"11/15/2021 14:05",36121.01,36121.77,36117.21,36119.34,-1.79,0.00%,408717
"11/15/2021 14:04",36113.17,36122.4,36112.98,36121.13,8.02,+0.02%,353712
"11/15/2021 14:03",36117,36117.44,36113.01,36113.11,-3.92,-0.01%,676358
"11/15/2021 14:02",36117.67,36118.37,36115.67,36117.03,-0.74,0.00%,575542
"11/15/2021 14:01",36112.32,36119.37,36112.04,36117.77,5.66,+0.02%,369766
"11/15/2021 14:00",36118.57,36118.98,36112.11,36112.11,-6.62,-0.02%,442792
"11/15/2021 13:59",36121.52,36124.74,36118.2,36118.73,-2.85,-0.01%,313233
"11/15/2021 13:58",36123.19,36123.29,36119.51,36121.58,-1.72,0.00%,400323
"11/15/2021 13:57",36119.07,36125.33,36118.87,36123.3,4.13,+0.01%,435611
"11/15/2021 13:56",36120.82,36121.61,36119.17,36119.17,-1.94,-0.01%,322184
"11/15/2021 13:55",36123.15,36123.15,36118.99,36121.11,-2.1,-0.01%,298672
"11/15/2021 13:54",36122.2,36123.85,36120.5,36123.21,1.04,0.00%,294480
"11/15/2021 13:53",36120.45,36122.35,36119.62,36122.17,1.64,0.00%,301105
"11/15/2021 13:52",36120.57,36122.19,36119.6,36120.53,0.11,0.00%,325273
"11/15/2021 13:51",36121.81,36123.91,36120.29,36120.42,-1.07,0.00%,306333
"11/15/2021 13:50",36120.58,36122.99,36120.29,36121.49,0.63,0.00%,248607
"11/15/2021 13:49",36117.23,36121.26,36117.15,36120.86,3.42,+0.01%,354631
"11/15/2021 13:48",36114.95,36117.44,36113.11,36117.44,2.74,+0.01%,234117
"11/15/2021 13:47",36113.01,36115.07,36110.89,36114.7,2.11,+0.01%,286009
"11/15/2021 13:46",36114.4,36115.86,36111.64,36112.59,-1.83,-0.01%,288564
"11/15/2021 13:45",36115.62,36117.53,36113.75,36114.42,-0.67,0.00%,297979
"11/15/2021 13:44",36114.86,36118.75,36114.57,36115.09,-0.27,0.00%,288139
"11/15/2021 13:43",36111.89,36115.58,36111.6,36115.36,3.5,+0.01%,209575
"11/15/2021 13:42",36110.68,36112.56,36110.08,36111.86,1.14,0.00%,252145
"11/15/2021 13:41",36108.6,36111.19,36107.04,36110.72,1.39,0.00%,322598
"11/15/2021 13:40",36116.23,36116.89,36109.33,36109.33,-6.33,-0.02%,331450
"11/15/2021 13:39",36118.03,36118.16,36115.33,36115.66,-2.47,-0.01%,298736
"11/15/2021 13:38",36116.75,36119.93,36116.75,36118.13,1.57,0.00%,340223
"11/15/2021 13:37",36116.58,36118.7,36115.72,36116.56,0.04,0.00%,366043
